Timestamp (ms), GPS LATITUDE, GPS LONGITUDE, GPS SPEED
492625,43.2618,-79.930374,40.42916
492625,43.2618,-79.930374,40.42916
492725,43.2618,-79.93039,40.5588
492725,43.2618,-79.93039,40.5588
492825,43.2618,-79.9304,40.79956
492925,43.2618,-79.93041,41.05884
493025,43.2618,-79.93043,41.3922
493025,43.2618,-79.93043,41.3922
493125,43.2618,-79.93044,41.7626
493125,43.2618,-79.93044,41.7626
493225,43.26179,-79.93046,42.00336
493225,43.26179,-79.93046,42.00336
493325,43.26179,-79.930466,42.244118
493325,43.26179,-79.930466,42.244118
493470,43.26179,-79.93049,42.466362
493570,43.26179,-79.93052,43.37384
493570,43.26179,-79.93052,43.37384
493670,43.26179,-79.930534,43.92944
493670,43.26179,-79.930534,43.92944
493770,43.26179,-79.93055,44.410957
493770,43.26179,-79.93055,44.410957
493870,43.26179,-79.930565,44.55912
493870,43.26179,-79.930565,44.55912
493978,43.26179,-79.93058,44.57764
494078,43.26179,-79.930595,44.5406
494178,43.26179,-79.93062,44.55912
494278,43.26179,-79.930626,44.59616
494378,43.261784,-79.93063,44.670242
494478,43.261784,-79.93066,44.911
494578,43.261784,-79.93067,45.11472
494678,43.261784,-79.93069,45.040638
494778,43.261784,-79.9307,44.96656
494878,43.261784,-79.93072,44.89248
494978,43.261784,-79.93074,45.07768
495078,43.261784,-79.930756,45.262882
495178,43.261784,-79.93077,45.35548
495278,43.261784,-79.930786,45.448082
495378,43.261784,-79.9308,45.59624
495478,43.261784,-79.93082,45.837
495578,43.261784,-79.93083,46.07776
495678,43.261784,-79.930855,46.46668
495778,43.26179,-79.93088,46.68892
495878,43.26179,-79.93089,46.91116
495978,43.26179,-79.93091,47.170437
496078,43.26179,-79.93092,47.37416
496178,43.26179,-79.93094,47.4112
496278,43.26179,-79.93096,47.5038
496378,43.26179,-79.930984,47.57788
496478,43.26179,-79.931,47.67048
496578,43.26179,-79.931015,47.67048
496678,43.26179,-79.93103,47.72604
496778,43.26179,-79.931046,47.76308
496878,43.26179,-79.93106,47.818638
496978,43.26179,-79.931076,47.98532
497078,43.26179,-79.9311,48.28164
497178,43.26179,-79.931114,48.28164
497278,43.26179,-79.93113,48.18904
497378,43.26179,-79.93115,48.20756
497478,43.26179,-79.93117,48.17052
497578,43.26179,-79.93118,48.040882
497678,43.26179,-79.9312,47.63344
497778,43.26179,-79.93122,47.151917
497887,43.26179,-79.93124,47.0408
497987,43.26179,-79.93125,47.003757
498087,43.26179,-79.93127,47.3186
498187,43.26179,-79.93128,47.63344
498287,43.26179,-79.9313,48.059402
498387,43.261784,-79.93131,48.44832
498487,43.261784,-79.93134,49.13356
498587,43.261784,-79.93136,49.281723
498687,43.261784,-79.93137,49.57804
498787,43.261784,-79.93139,49.85584
498887,43.261784,-79.93141,50.13364
498987,43.261776,-79.93143,50.059563
499087,43.261776,-79.93144,49.76324
499187,43.261776,-79.931465,49.7262
499287,43.261776,-79.93148,49.22616
499387,43.26177,-79.9315,48.4298
499487,43.26177,-79.93151,47.818638
499587,43.26176,-79.931526,47.151917
499687,43.26176,-79.93154,46.5778
499787,43.26176,-79.93156,46.13332
499887,43.261753,-79.93157,45.94812
499987,43.26174,-79.931595,45.9296
500087,43.261734,-79.93161,45.911083
500187,43.261734,-79.931625,46.059242
500287,43.261726,-79.93164,46.18888
500387,43.26172,-79.93164,46.392597
500487,43.261703,-79.93167,46.54076
500587,43.261696,-79.93168,46.4852
500687,43.261684,-79.931694,46.52224
500787,43.261677,-79.93172,46.31852
500887,43.26167,-79.93173,46.44816
500987,43.261654,-79.93174,46.50372
501087,43.261646,-79.931755,46.59632
501187,43.261646,-79.93177,46.63336
501287,43.26164,-79.931786,46.670403
501387,43.26163,-79.93179,46.70744
501487,43.26162,-79.93181,46.8556
501587,43.261612,-79.93183,46.98524
501687,43.261612,-79.93185,47.244522
501787,43.261604,-79.93186,47.244522
501887,43.261597,-79.93187,47.3186
501987,43.26159,-79.931885,47.39268
502087,43.26159,-79.9319,47.4112
502187,43.26158,-79.931915,47.3186
502287,43.261574,-79.93192,47.263042
502387,43.261574,-79.93194,47.170437
502487,43.261562,-79.93196,47.07784
502587,43.261555,-79.93198,46.9482
502687,43.261547,-79.93199,46.70744
502787,43.261547,-79.932,46.429638
502887,43.26154,-79.932014,46.09628
502987,43.26154,-79.93202,45.68884
503087,43.26153,-79.93204,45.20732
503187,43.261524,-79.932045,44.89248
503287,43.261524,-79.93206,44.59616
503387,43.261517,-79.932076,44.244278
503487,43.26151,-79.93209,43.74424
503587,43.26151,-79.9321,43.22568
503687,43.261497,-79.932106,42.596
503787,43.261497,-79.93212,41.9478
503887,43.26149,-79.93213,41.651478
503987,43.261482,-79.93214,41.37368
504087,43.261482,-79.93215,41.077362
504187,43.261475,-79.93216,40.76252
504287,43.261467,-79.93217,40.3736
504387,43.261467,-79.93218,40.1884
504487,43.26146,-79.9322,40.02172
504590,43.26145,-79.932205,39.83652
504690,43.26145,-79.93222,39.6328
504790,43.26144,-79.93223,39.41056
504890,43.261433,-79.932236,39.18832
504990,43.261433,-79.93224,38.947563
505090,43.261425,-79.93225,38.68828
505190,43.261417,-79.93227,38.429
505290,43.261417,-79.932274,38.18824
505390,43.26141,-79.93228,37.94748
505490,43.261402,-79.93229,37.706722
505590,43.261402,-79.9323,37.465958
505690,43.261395,-79.932304,37.20668
505790,43.261387,-79.93232,36.928883
505890,43.261375,-79.93232,36.65108
505990,43.261375,-79.93233,36.35476
506090,43.261368,-79.932335,36.058437
506190,43.26136,-79.93234,35.7436
506290,43.26136,-79.93234,35.3732
506390,43.261345,-79.93235,34.98428
506490,43.261345,-79.93235,34.59536
506590,43.261337,-79.93236,34.169403
506690,43.26133,-79.93236,33.76196
506790,43.26132,-79.93236,33.35452
506890,43.26131,-79.93236,32.9656
506990,43.261303,-79.93236,32.502598
507090,43.261295,-79.93236,32.00256
507190,43.261288,-79.93236,31.50252
507290,43.26128,-79.93236,31.03952
507390,43.261272,-79.93235,30.558
507490,43.261265,-79.93235,30.057959
507590,43.261253,-79.93234,29.55792
507690,43.261246,-79.932335,29.03936
507790,43.26123,-79.932335,28.53932
507890,43.261223,-79.93232,28.057798
507990,43.261215,-79.932304,27.57628
508090,43.261208,-79.9323,27.113281
508190,43.261196,-79.93229,26.63176
508290,43.26118,-79.93228,26.15024
508390,43.261173,-79.93227,25.7428
508490,43.261166,-79.93225,25.52056
508590,43.261158,-79.93224,25.35388
508690,43.261143,-79.93223,25.15016
508790,43.26113,-79.93222,25.002
508890,43.261124,-79.932205,24.85384
508990,43.261116,-79.93218,24.76124
509090,43.26111,-79.93217,24.68716
509190,43.261093,-79.93215,24.68716
509290,43.261086,-79.93214,24.70568
509390,43.261074,-79.93211,24.77976
509490,43.261066,-79.9321,24.87236
509590,43.26105,-79.93208,25.020521
509690,43.261044,-79.93206,25.205719
509790,43.261036,-79.93204,25.42796
509890,43.26103,-79.93202,25.66872
509990,43.26101,-79.932,25.94652
510090,43.261,-79.931984,26.26136
510190,43.260994,-79.93196,26.594719
510290,43.260986,-79.93193,26.96512
510390,43.26098,-79.931915,27.33552
510490,43.260963,-79.931885,27.72444
510590,43.260952,-79.93187,28.094841
510690,43.260944,-79.93185,28.502281
510790,43.260937,-79.931816,28.90972
510890,43.26093,-79.93179,29.33568
510990,43.26092,-79.93177,29.743118
511090,43.260914,-79.93175,30.20612
511190,43.260906,-79.931725,30.650599
511290,43.2609,-79.931694,31.00248
511390,43.2609,-79.93167,31.391401
511490,43.260887,-79.931656,31.78032
511590,43.26088,-79.93163,32.18776
511690,43.26087,-79.93161,32.53964
511790,43.26087,-79.93159,32.89152
511890,43.26087,-79.93155,33.280437
511990,43.260864,-79.931526,33.68788
512090,43.260864,-79.9315,34.076797
512190,43.260857,-79.93148,34.502758
512290,43.260857,-79.93145,34.928722
512390,43.26085,-79.93142,35.39172
512490,43.26085,-79.9314,35.85472
512590,43.26085,-79.931366,36.22512
512693,43.26085,-79.93134,36.59552
512793,43.26085,-79.93131,37.00296
512893,43.26085,-79.93128,37.447437
512993,43.26085,-79.93125,37.91044
513093,43.26085,-79.93123,38.336403
513193,43.26085,-79.93119,38.873478
513293,43.26084,-79.93116,39.79948
513393,43.26084,-79.93113,40.6514
513493,43.26084,-79.9311,41.33664
513593,43.26083,-79.93106,42.058918
513693,43.26083,-79.93103,42.72564
513793,43.26085,-79.930954,45.29992
513893,43.26085,-79.9309,47.07784
513993,43.260857,-79.93084,48.76316
514093,43.260864,-79.9308,49.94844
514193,43.260857,-79.93077,50.392918
514293,43.260857,-79.93075,50.7448
514393,43.260864,-79.93072,51.07816
514493,43.260864,-79.93069,51.35596
514593,43.260864,-79.930664,51.5782
514693,43.260864,-79.93064,51.4856
514793,43.260864,-79.93062,51.448563
514893,43.26087,-79.93059,51.448563
514993,43.2609,-79.930565,51.430042
515093,43.260906,-79.93055,51.1152
515193,43.26092,-79.93051,51.26336
515293,43.26093,-79.9305,50.54108
515393,43.26093,-79.93047,49.96696
515493,43.260937,-79.93045,49.48544
515593,43.260937,-79.930435,49.189117
515693,43.260944,-79.93041,48.652042
515793,43.26098,-79.9304,47.911243
515893,43.26101,-79.93037,46.96672
515993,43.26103,-79.930336,46.5778
516093,43.261036,-79.93031,46.429638
516193,43.261044,-79.93029,46.31852
516293,43.261044,-79.93027,46.37408
516393,43.261036,-79.93025,46.46668
516493,43.26103,-79.93023,46.55928
516593,43.26102,-79.930214,46.651882
516693,43.26101,-79.9302,46.763
516793,43.261,-79.930176,46.87412
516893,43.260994,-79.93016,47.003757
516993,43.260986,-79.930145,47.11488
517093,43.26098,-79.93013,47.244522
517193,43.26097,-79.93011,47.35564
517293,43.260963,-79.930084,47.448242
517393,43.260952,-79.93007,47.52232
517493,43.260944,-79.93005,47.5964
517593,43.260944,-79.93004,47.65196
517693,43.260937,-79.93002,47.67048
517793,43.26093,-79.93001,47.65196
517904,43.26092,-79.929985,47.65196
518004,43.260914,-79.92997,47.63344
518104,43.260906,-79.929955,47.63344
518204,43.2609,-79.92994,47.614918
518304,43.2609,-79.929924,47.55936
518404,43.260887,-79.92991,47.5038
518504,43.26088,-79.92989,47.42972
518604,43.26087,-79.92988,47.37416
518704,43.260864,-79.92986,47.33712
518804,43.260857,-79.92985,47.281563
518904,43.26085,-79.92983,47.20748
519948,43.260777,-79.92969,46.92968
520007,43.260777,-79.92969,46.92968
520107,43.260765,-79.92967,46.80004
520207,43.260757,-79.929665,46.651882
520307,43.260757,-79.929665,46.18888
520407,43.260777,-79.92967,45.281403
520507,43.26079,-79.929695,44.31836
520607,43.260815,-79.92974,43.35532
520707,43.26085,-79.92983,42.4108
520807,43.2609,-79.92998,41.595917
520907,43.26101,-79.930176,40.70696
521007,43.26113,-79.93035,40.02172
521107,43.261215,-79.93044,39.52168
521207,43.26128,-79.930504,39.13276
521307,43.26133,-79.930534,38.78088
521407,43.26136,-79.930565,38.46604
521507,43.261395,-79.93058,38.16972
521607,43.261417,-79.93061,37.89192
521707,43.261433,-79.930626,37.65116
521807,43.26145,-79.93063,37.4104
521907,43.261467,-79.93064,37.16964
522007,43.261475,-79.93065,36.89184
522107,43.26149,-79.930664,36.577
522207,43.261517,-79.93069,36.2066
522307,43.26153,-79.930695,35.85472
522407,43.26154,-79.93071,35.521362
522507,43.261555,-79.93073,35.11392
522607,43.261574,-79.93074,34.725
522707,43.26158,-79.930756,34.336082
522807,43.26159,-79.93076,33.94716
522907,43.261597,-79.93077,33.50268
523007,43.261597,-79.93078,33.1508
523107,43.261604,-79.930786,32.706318
523207,43.261604,-79.93079,32.3174
523307,43.261604,-79.93079,31.92848
523407,43.261604,-79.9308,31.558083
523507,43.261604,-79.93081,31.169159
523607,43.261604,-79.93081,30.780241
523707,43.261604,-79.930824,30.20612
523807,43.261604,-79.930824,29.780159
523907,43.261597,-79.93083,29.48384
524007,43.261597,-79.93083,29.03936
524107,43.261604,-79.930855,28.4282
524207,43.261597,-79.93086,27.89112
524307,43.261597,-79.93086,27.57628
524407,43.26159,-79.93087,27.279959
524507,43.26158,-79.93088,26.92808
524607,43.261574,-79.93088,26.5762
524707,43.261574,-79.93089,25.96504
524807,43.26158,-79.93091,25.279799
524907,43.261574,-79.93091,24.96496
525007,43.261562,-79.930916,24.68716
525107,43.261555,-79.93092,24.4464
525207,43.26154,-79.93092,24.42788
525307,43.26153,-79.93093,24.22416
525407,43.261524,-79.93094,24.020441
525507,43.261517,-79.93095,23.87228
525607,43.261517,-79.930954,23.59448
525707,43.26151,-79.93096,23.55744
525807,43.26149,-79.93098,23.53892
525907,43.261482,-79.930984,23.59448
526007,43.261475,-79.93099,23.68708
526107,43.261467,-79.931,23.77968
526207,43.26145,-79.931015,23.890799
526307,43.26145,-79.93104,23.650042
526407,43.26145,-79.93107,23.55744
526507,43.26146,-79.93111,23.29816
526607,43.26149,-79.93115,22.927761
526707,43.261517,-79.93119,22.8722
526807,43.26154,-79.93124,23.13148
526907,43.261555,-79.931274,23.53892
527007,43.261555,-79.93131,28.35412
527107,43.261562,-79.93135,30.650599
527207,43.261562,-79.93137,32.24332
527307,43.261574,-79.9314,32.57668
527407,43.261574,-79.93141,33.20636
527507,43.261562,-79.931435,34.669437
527607,43.26158,-79.93149,36.42884
527707,43.261597,-79.931526,37.89192
527807,43.261604,-79.93155,38.873478
527907,43.261604,-79.93159,39.76244
