Timestamp (ms),F_GPS_LATITUDE
5597597,43.260914
5597697,43.26092
5597797,43.26092
5597897,43.26092
5597997,43.26092
5598100,43.26092
5598200,43.26092
5598300,43.26092
5598400,43.26092
5598500,43.26092
5598602,43.26092
5598702,43.26092
5598802,43.260914
5598903,43.260914
5599003,43.260914
5599105,43.260906
5599204,43.260906
5599305,43.260906
5599405,43.260906
5599508,43.260906
5599609,43.260906
5599709,43.260906
5599819,43.260906
5599918,43.2609
5600018,43.2609
5600118,43.2609
5600218,43.2609
5600318,43.2609
5600419,43.2609
5600519,43.2609
5600618,43.2609
5600719,43.260906
5600821,43.260906
5600923,43.260906
5601022,43.260906
5601123,43.260906
5601224,43.260906
5601326,43.260906
5601427,43.260906
5601527,43.260906
5601628,43.260906
5601728,43.260906
5601827,43.260906
5601929,43.260906
5602034,43.260906
5602135,43.260906
5602234,43.260914
5602337,43.260914
5602438,43.260914
5602538,43.260914
5602639,43.260914
5602740,43.260914
5602840,43.260914
5602940,43.260914
5603040,43.260914
5603143,43.260914
5603244,43.260914
5603344,43.260914
5603444,43.260914
5603544,43.260914
5603644,43.260914
5603744,43.260906
5603844,43.260906
5603947,43.260906
5604048,43.260906
5604150,43.260906
5604250,43.260906
5604350,43.260906
5604451,43.260906
5604553,43.260906
5604653,43.260906
5604756,43.260906
5604857,43.2609
5604957,43.2609
5605060,43.2609
5605160,43.2609
5605260,43.2609
5605360,43.260887
5605460,43.260887
5605565,43.260887
5605667,43.260887
5605767,43.260887
5605867,43.260887
5605969,43.260887
5606077,43.260887
5606176,43.260887
5606276,43.260887
5606376,43.26088
5606476,43.26088
5606583,43.26088
5606682,43.26088
5606782,43.26088
5606882,43.26088
5606982,43.26088
5607087,43.26088
5607202,43.26088
5607306,43.26088
5607407,43.26087
5607507,43.26087
5607608,43.26087
5607710,43.26087
5607810,43.26087
5607911,43.26087
5608011,43.26087
5608111,43.26087
5608211,43.26087
5608315,43.260864
5608415,43.260864
5608516,43.260857
5608620,43.260857
5608720,43.26085
5608820,43.26085
5608920,43.26084
5609021,43.26084
5609126,43.26084
5609225,43.26083
5609325,43.26083
5609426,43.26083
5609525,43.26083
5609629,43.260822
5609728,43.260822
5609829,43.260822
5609929,43.260822
5610029,43.260822
5610212,43.260822
5610241,43.260822
5610341,43.260822
5610441,43.260822
5610541,43.260822
5610645,43.260822
5610745,43.260822
5610845,43.260822
5610945,43.260822
5611045,43.260815
5611150,43.260815
5611250,43.260815
5611350,43.260815
5611450,43.260807
5611550,43.260807
5611652,43.260807
5611751,43.260807
5611851,43.260807
5611951,43.260807
5612051,43.2608
5612151,43.2608
5612251,43.2608
5612352,43.26079
5612452,43.26079
5612552,43.26079
5612654,43.260784
5612755,43.260784
5612855,43.260784
5612956,43.260784
5613056,43.260777
5613158,43.260777
5613260,43.260777
5613360,43.260765
5613461,43.260765
5613561,43.260765
5613665,43.260757
5613765,43.260757
5613865,43.260757
5613966,43.26075
5614066,43.26075
5614168,43.26075
5614269,43.260742
5614370,43.260742
5614470,43.260742
5614571,43.260735
5614674,43.260735
5614774,43.260727
5614874,43.26072
5614974,43.26072
5615075,43.260708
5615177,43.260708
5615278,43.2607
5615379,43.2607
5615478,43.260693
5615579,43.260693
5615682,43.260693
5615783,43.260685
5615883,43.260685
5615983,43.260685
5616084,43.260677
5616185,43.260677
